id,title,body,category,priority
1,urgente,Desidero segnalare che richiesta maternità Grazie per la collaborazione. presentazione tra poco,Amministrazione,alta
2,ferie,nota spese da approvare thx era solo un'idea,Amministrazione,bassa
3,password,"Buongiorno, internet non funziona Grazie per la collaborazione.",Tecnico,media
4,problema pc,schermo sfarfalla,Tecnico,alta
5,richiesta,gli straordinari non sono stati pagati inoltre vi faccio presente che questa situazione va avanti da settimane urgente,Amministrazione,alta
6,urgente,nn riesco ad accedere al portale per vedere la busta paga perché come sapete e già da un po' ke ho questo problema e nn so più cosa fare,Tecnico,media
7,straordinari,voglio dare le  diciamo che  dimissioni o qualcosa del genere,Amministrazione,media
8,leggere,la password non funziona come dire più ...non ricordo bene devo risolvere oggi,Tecnico,alta
9,lento,pc non si accende devo partire,Tecnico,alta
10,computer,ho perso tutti  non so se mi spiego  i documenti o qualcosa del genere se avete tempo,Tecnico,bassa
11,richiesta,salve il pc fa rumori strani è un'emergenza,Tecnico,alta
12,ferie,nota spese approvare,Amministrazione,bassa
13,cedolino,voglio dare dimissioni,Amministrazione,bassa
14,malattia,voglio cambiare orario inoltre vi faccio presente che questa situazione va avanti da settimane pensavo che forse,Amministrazione,bassa
15,help,Buongiorno devo cambiare l'iban,Amministrazione,media
16,virus?,il computer si spegne da kome dire solo (o forse era un'altra cosa?),Tecnico,bassa
17,ERRORE,Basta! l'audio non si sente È la terza volta che lo segnalo!!,Tecnico,media
18,non va,ho preso un diciamo che virus boh graize,Tecnico,media
19,rimborso,devo scaricare cud ma sito non funziona non riesco a fare niente,Amministrazione,alta
20,hr,la busta paga è sbagliata magari un giorno,Amministrazione,bassa
21,richiesta,"DESIDERO SEGNALARE CHE DOCUMENTI PER LA BANCA RINGRAZIANDO ANTICIPATAMENTE, PORGO CORDIALI SALUTI. SONO FERMO",Amministrazione,alta
22,urgente,Con la presente il pc fa rumori strani Distinti saluti.,Tecnico,bassa
23,pagamento,Buongiorno verifica credito grazie! solo per sapere,Commerciale,bassa
24,ticket,ho preso un  insomma  virus o qualcosa del genere presentazione tra poco,Tecnico,alta
25,LEGGERE,documenti per la banca fatemi sapere,Amministrazione,media
26,ferie,INFORMAZIONI SUL TFR PERCHÉ COME SAPETE È GIÀ DA UN PO' CHE HO QUESTO PROBLEMA E NON SO PIÙ CS FARE?!,Amministrazione,bassa
27,busta paga,"buongiorno, devo fare il rimborso spese distinti saluti. dobbiamo consegnare",Amministrazione,alta
28,730,RICHIESTA MATERNITÀ CURIOSITÀ,Amministrazione,bassa
29,PAGAMENTO,PER L'ENNESIMA VOLTA: IL MIO ORDINE E IN RITARDO INACCETTABILE!!! DEVO RISOLVERE OGGI,Commerciale,alta
30,reclamo,ci sono offerte non riesco a fare niente,Commerciale,alta
31,reso,Vi scrivo per voglio disdire Resto in attesa di un cortese riscontro. se avete tempo,Commerciale,bassa
32,ticket,devo modificare l'ordine (o forse era un'altra cosa?) fatemi sapere una cosina veloce: non riesco più ad accedere a nulla,Commerciale,media
33,contratto,assegni familiari boh,Amministrazione,media
34,prodotto,Per l'ennesima volta: verifica credito Non è posibile andare avanti così!,Commerciale,media
35,pc rotto,internet non funziona ...non ricordo bene,Tecnico,media
36,rete,excel si chiude da  praticamente  solo ...non ricordo bene,Tecnico,media
37,errore,schermo nero quando accendo comunque sia vi chiedo di intervenire il prima possibile se potete non c'è fretta,Tecnico,bassa
38,vpn,Non è accettabile che non riesco ad accedere al portale per vedere la busta paga Voglio parlare con un responsabile! siamo in ritardo,Tecnico,alta
39,PROBLEMA,avete catalogo serve subito,Commerciale,alta
40,errore,Gentilissimi proposta di collaborazione Distinti saluti.,Commerciale,media
41,schermo nero,il pc non  più o meno  si accende ...non ricordo bene,Tecnico,media
42,richiesta,voglio dare dimissioni stiamo perdendo tempo,Amministrazione,alta
43,aiuto,Basta! ho bisogno di un permesso Voglio parlare con un responsabile,Amministrazione,alta
44,ordine,desidero segnalare che spedizione urgente grazie per la collaborazione.,Commerciale,media
45,catalogo,devo modificare l'ordine ciao,Commerciale,media
46,smart working,Vi scrivo x la fattura del fornitore nn quadra con le mie note spese grz per la collaborazione. devo risolvere oggi,Amministrazione,alta
47,aiuto,mi serve il listino prezzi ciao magari un giorno,Commerciale,bassa
48,da risolvere,vorrei preventivo,Commerciale,alta
49,bloccato,backup non parte non posso lavorare,Tecnico,alta
50,reso,devo modificare l'ordine inoltre vi faccio presente che questa situazione va avanti da settimane,Commerciale,media
51,supporto,devo fare una trasferta e aggiungo che un mio collega ha lo stesso identico problema URGENTE,Amministrazione,alta
52,non funziona,devo fare un reso comunque sia vi chiedo di intervenire il prima possibile se potete aspetto risposta,Commerciale,media
53,non va,schermo sfarfalla il capo chiede,Tecnico,alta
54,prodotto,Ma e' possibile ke feedback sul servizio È la terza volta che lo segnalo!!,Commerciale,media
55,domanda,non è accettabile che schermo nero quando accendo non è possibile andare avanti così! niente di che ma il sistema è completamente bloccato,Tecnico,media
56,rotto,"Spett.le ufficio, la mail per le note spese non parte, come faccio Resto in attesa di un cortese riscontro. riunione importante",Amministrazione,alta
57,Fwd:,la fattura è sbagliata comunque sia vi chiedo di intervenire il prima possibile se potete dobbiamo consegnare,Commerciale,alta
58,help,devo scaricare cud ma sito non funziona,Amministrazione,bassa
59,guasto,upgrade del piano perché come sapete è già da un po' che ho questo problema e non so più cosa fare fatemi sapere,Commerciale,media
60,help,EXCEL SI CHIUDE DA  NON SO SE MI SPIEGO  SOLO (O FORSE ERA UN'ALTRA COSA?),Tecnico,media
61,help,"buongiorno, la fattura del fornitore non quadra con le mie note spese ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,media
62,non va,"ciao, internet non funziona ciao aspetto risposta",Tecnico,media
63,permesso,assegni familiari ...non ricordo bene,Amministrazione,bassa
