id,title,body,category,priority,full_text
1,Informazioni prodotto,È possibile ottenere uno sconto per grandi quantità? Cordiali saluti.,Commerciale,media,informazioni prodotto è possibile ottenere uno sconto per grandi quantità cordiali saluti
2,Stampante non stampa,L'aggiornamento del sistema operativo è fallito Grazie in anticipo.,Tecnico,media,stampante non stampa l'aggiornamento del sistema operativo è fallito grazie in anticipo
3,Trasferta,Ho bisogno di un certificato di lavoro per la banca Attendo riscontro.,Amministrazione,media,trasferta ho bisogno di un certificato di lavoro per la banca attendo riscontro
4,Anticipo stipendio,Devo comunicare un periodo di malattia Quando possibile.,Amministrazione,bassa,anticipo stipendio devo comunicare un periodo di malattia quando possibile
5,Garanzia prodotto,"Vorrei ricevere un preventivo per i vostri servizi È urgente, non riesco a lavorare.",Commerciale,alta,garanzia prodotto vorrei ricevere un preventivo per i vostri servizi è urgente non riesco a lavorare
6,Garanzia prodotto,Confermo di aver effettuato il pagamento Non è prioritario.,Commerciale,bassa,garanzia prodotto confermo di aver effettuato il pagamento non è prioritario
7,Spedizione urgente,"L'articolo che cerco è disponibile in magazzino? Quando possibile, grazie.",Commerciale,media,spedizione urgente l'articolo che cerco è disponibile in magazzino quando possibile grazie
8,Aggiornamento fallito,"La licenza del software è scaduta Quando possibile, grazie.",Tecnico,media,aggiornamento fallito la licenza del software è scaduta quando possibile grazie
9,Reso merce,"Ho bisogno di informazioni su un prodotto specifico Urgentissimo, il cliente attende.",Commerciale,alta,reso merce ho bisogno di informazioni su un prodotto specifico urgentissimo il cliente attende
10,Upgrade piano,Vorrei ricevere un preventivo per i vostri servizi Grazie per l'assistenza.,Commerciale,media,upgrade piano vorrei ricevere un preventivo per i vostri servizi grazie per l'assistenza
11,Certificato lavoro,Devo organizzare una trasferta di lavoro Quando possibile.,Amministrazione,bassa,certificato lavoro devo organizzare una trasferta di lavoro quando possibile
12,Monitor sfarfalla,La stampante non risponde ai comandi di stampa Fatemi sapere.,Tecnico,media,monitor sfarfalla la stampante non risponde ai comandi di stampa fatemi sapere
13,Attestato di servizio,Devo comunicare un periodo di malattia Cordiali saluti.,Amministrazione,media,attestato di servizio devo comunicare un periodo di malattia cordiali saluti
14,Disdetta servizio,"Richiedo la sostituzione dell'articolo difettoso È urgente, non riesco a lavorare.",Commerciale,alta,disdetta servizio richiedo la sostituzione dell'articolo difettoso è urgente non riesco a lavorare
15,Sostituzione articolo,"Vorrei verificare il credito residuo Situazione critica, sistema bloccato.",Commerciale,alta,sostituzione articolo vorrei verificare il credito residuo situazione critica sistema bloccato
16,Catalogo prodotti,"Il mio ordine è in ritardo rispetto alla data prevista Situazione critica, sistema bloccato.",Commerciale,alta,catalogo prodotti il mio ordine è in ritardo rispetto alla data prevista situazione critica sistema bloccato
17,Contratto fornitura,"Invio sollecito per il pagamento della fattura Urgentissimo, il cliente attende.",Commerciale,alta,contratto fornitura invio sollecito per il pagamento della fattura urgentissimo il cliente attende
18,Promozione attiva,Siamo interessati a una partnership commerciale Fatemi sapere.,Commerciale,media,promozione attiva siamo interessati a una partnership commerciale fatemi sapere
19,Monitor sfarfalla,Il sistema mostra un errore critico all'avvio Resto in attesa di risposta.,Tecnico,media,monitor sfarfalla il sistema mostra un errore critico all'avvio resto in attesa di risposta
20,Webcam non rilevata,La stampante non risponde ai comandi di stampa Non è prioritario.,Tecnico,bassa,webcam non rilevata la stampante non risponde ai comandi di stampa non è prioritario
21,Informazioni prodotto,Vorrei ricevere il catalogo prodotti completo Fatemi sapere.,Commerciale,media,informazioni prodotto vorrei ricevere il catalogo prodotti completo fatemi sapere
22,Licenza scaduta,Il mouse wireless non risponde Ho bisogno di aiuto immediato.,Tecnico,alta,licenza scaduta il mouse wireless non risponde ho bisogno di aiuto immediato
23,USB non riconosciuta,Il monitor presenta sfarfallii continui Ho bisogno di aiuto immediato.,Tecnico,alta,usb non riconosciuta il monitor presenta sfarfallii continui ho bisogno di aiuto immediato
24,Dimissioni,Ho bisogno di un certificato di lavoro per la banca Cordiali saluti.,Amministrazione,media,dimissioni ho bisogno di un certificato di lavoro per la banca cordiali saluti
25,Partnership commerciale,Il mio ordine è in ritardo rispetto alla data prevista Fatemi sapere.,Commerciale,media,partnership commerciale il mio ordine è in ritardo rispetto alla data prevista fatemi sapere
26,Richiesta campioni,"Invio sollecito per il pagamento della fattura Quando possibile, grazie.",Commerciale,media,richiesta campioni invio sollecito per il pagamento della fattura quando possibile grazie
27,Connessione internet assente,"Lo schermo rimane nero dopo l'accensione È urgente, non riesco a lavorare.",Tecnico,alta,connessione internet assente lo schermo rimane nero dopo l'accensione è urgente non riesco a lavorare
28,Virus rilevato,"Manca il driver della scheda video È urgente, non riesco a lavorare.",Tecnico,alta,virus rilevato manca il driver della scheda video è urgente non riesco a lavorare
29,Fattura errata,Devo modificare la quantità dell'ordine effettuato Solo per curiosità.,Commerciale,bassa,fattura errata devo modificare la quantità dell'ordine effettuato solo per curiosità
