id,title,body,category,priority
1,Informazioni prodotto,È possibile ottenere uno sconto per grandi quantità? Cordiali saluti.,Commerciale,media
2,Stampante non stampa,L'aggiornamento del sistema operativo è fallito Grazie in anticipo.,Tecnico,media
3,Trasferta,Ho bisogno di un certificato di lavoro per la banca Attendo riscontro.,Amministrazione,media
4,Anticipo stipendio,Devo comunicare un periodo di malattia Quando possibile.,Amministrazione,bassa
5,Garanzia prodotto,"Vorrei ricevere un preventivo per i vostri servizi È urgente, non riesco a lavorare.",Commerciale,alta
6,Garanzia prodotto,Confermo di aver effettuato il pagamento Non è prioritario.,Commerciale,bassa
7,Spedizione urgente,"L'articolo che cerco è disponibile in magazzino? Quando possibile, grazie.",Commerciale,media
8,Aggiornamento fallito,"La licenza del software è scaduta Quando possibile, grazie.",Tecnico,media
9,Reso merce,"Ho bisogno di informazioni su un prodotto specifico Urgentissimo, il cliente attende.",Commerciale,alta
10,Upgrade piano,Vorrei ricevere un preventivo per i vostri servizi Grazie per l'assistenza.,Commerciale,media
11,Certificato lavoro,Devo organizzare una trasferta di lavoro Quando possibile.,Amministrazione,bassa
12,Monitor sfarfalla,La stampante non risponde ai comandi di stampa Fatemi sapere.,Tecnico,media
13,Attestato di servizio,Devo comunicare un periodo di malattia Cordiali saluti.,Amministrazione,media
14,Disdetta servizio,"Richiedo la sostituzione dell'articolo difettoso È urgente, non riesco a lavorare.",Commerciale,alta
15,Sostituzione articolo,"Vorrei verificare il credito residuo Situazione critica, sistema bloccato.",Commerciale,alta
16,Catalogo prodotti,"Il mio ordine è in ritardo rispetto alla data prevista Situazione critica, sistema bloccato.",Commerciale,alta
17,Contratto fornitura,"Invio sollecito per il pagamento della fattura Urgentissimo, il cliente attende.",Commerciale,alta
18,Promozione attiva,Siamo interessati a una partnership commerciale Fatemi sapere.,Commerciale,media
19,Monitor sfarfalla,Il sistema mostra un errore critico all'avvio Resto in attesa di risposta.,Tecnico,media
20,Webcam non rilevata,La stampante non risponde ai comandi di stampa Non è prioritario.,Tecnico,bassa
21,Informazioni prodotto,Vorrei ricevere il catalogo prodotti completo Fatemi sapere.,Commerciale,media
22,Licenza scaduta,Il mouse wireless non risponde Ho bisogno di aiuto immediato.,Tecnico,alta
23,USB non riconosciuta,Il monitor presenta sfarfallii continui Ho bisogno di aiuto immediato.,Tecnico,alta
24,Dimissioni,Ho bisogno di un certificato di lavoro per la banca Cordiali saluti.,Amministrazione,media
25,Partnership commerciale,Il mio ordine è in ritardo rispetto alla data prevista Fatemi sapere.,Commerciale,media
26,Richiesta campioni,"Invio sollecito per il pagamento della fattura Quando possibile, grazie.",Commerciale,media
27,Connessione internet assente,"Lo schermo rimane nero dopo l'accensione È urgente, non riesco a lavorare.",Tecnico,alta
28,Virus rilevato,"Manca il driver della scheda video È urgente, non riesco a lavorare.",Tecnico,alta
29,Fattura errata,Devo modificare la quantità dell'ordine effettuato Solo per curiosità.,Commerciale,bassa
30,Malattia,Vorrei attivare lo smart working Grazie in anticipo.,Amministrazione,media
31,Sostituzione articolo,Richiedo la sostituzione dell'articolo difettoso Solo per avere informazioni.,Commerciale,bassa
32,Password dimenticata,Il backup automatico non viene eseguito A vostra comodità.,Tecnico,bassa
33,Attestato di servizio,"Vorrei presentare le dimissioni Quando possibile, grazie.",Amministrazione,media
34,Pagamento effettuato,Il mio ordine è in ritardo rispetto alla data prevista Senza fretta.,Commerciale,bassa
35,Smart working,Ho bisogno di un certificato di lavoro per la banca Senza fretta.,Amministrazione,bassa
