id,title,body,category,priority,full_text
1,urgente,Desidero segnalare che richiesta maternità Grazie per la collaborazione. presentazione tra poco,Amministrazione,alta,urgente desidero segnalare che richiesta maternità grazie per la collaborazione presentazione tra poco
2,ferie,nota spese da approvare thx era solo un'idea,Amministrazione,bassa,ferie nota spese da approvare thx era solo un'idea
3,password,"Buongiorno, internet non funziona Grazie per la collaborazione.",Tecnico,media,password buongiorno internet non funziona grazie per la collaborazione
4,problema pc,schermo sfarfalla,Tecnico,alta,problema pc schermo sfarfalla
5,richiesta,gli straordinari non sono stati pagati inoltre vi faccio presente che questa situazione va avanti da settimane urgente,Amministrazione,alta,richiesta gli straordinari non sono stati pagati inoltre vi faccio presente che questa situazione va avanti da settimane urgente
6,urgente,nn riesco ad accedere al portale per vedere la busta paga perché come sapete e già da un po' ke ho questo problema e nn so più cosa fare,Tecnico,media,urgente nn riesco ad accedere al portale per vedere la busta paga perché come sapete e già da un po' ke ho questo problema e nn so più cosa fare
7,straordinari,voglio dare le  diciamo che  dimissioni o qualcosa del genere,Amministrazione,media,straordinari voglio dare le diciamo che dimissioni o qualcosa del genere
8,leggere,la password non funziona come dire più ...non ricordo bene devo risolvere oggi,Tecnico,alta,leggere la password non funziona come dire più non ricordo bene devo risolvere oggi
9,lento,pc non si accende devo partire,Tecnico,alta,lento pc non si accende devo partire
10,computer,ho perso tutti  non so se mi spiego  i documenti o qualcosa del genere se avete tempo,Tecnico,bassa,computer ho perso tutti non so se mi spiego i documenti o qualcosa del genere se avete tempo
11,richiesta,salve il pc fa rumori strani è un'emergenza,Tecnico,alta,richiesta salve il pc fa rumori strani è un'emergenza
12,ferie,nota spese approvare,Amministrazione,bassa,ferie nota spese approvare
13,cedolino,voglio dare dimissioni,Amministrazione,bassa,cedolino voglio dare dimissioni
14,malattia,voglio cambiare orario inoltre vi faccio presente che questa situazione va avanti da settimane pensavo che forse,Amministrazione,bassa,malattia voglio cambiare orario inoltre vi faccio presente che questa situazione va avanti da settimane pensavo che forse
15,help,Buongiorno devo cambiare l'iban,Amministrazione,media,help buongiorno devo cambiare l'iban
16,virus?,il computer si spegne da kome dire solo (o forse era un'altra cosa?),Tecnico,bassa,virus il computer si spegne da kome dire solo o forse era un'altra cosa
17,ERRORE,Basta! l'audio non si sente È la terza volta che lo segnalo!!,Tecnico,media,errore basta l'audio non si sente è la terza volta che lo segnalo
18,non va,ho preso un diciamo che virus boh graize,Tecnico,media,non va ho preso un diciamo che virus boh graize
19,rimborso,devo scaricare cud ma sito non funziona non riesco a fare niente,Amministrazione,alta,rimborso devo scaricare cud ma sito non funziona non riesco a fare niente
20,hr,la busta paga è sbagliata magari un giorno,Amministrazione,bassa,hr la busta paga è sbagliata magari un giorno
21,richiesta,"DESIDERO SEGNALARE CHE DOCUMENTI PER LA BANCA RINGRAZIANDO ANTICIPATAMENTE, PORGO CORDIALI SALUTI. SONO FERMO",Amministrazione,alta,richiesta desidero segnalare che documenti per la banca ringraziando anticipatamente porgo cordiali saluti sono fermo
22,urgente,Con la presente il pc fa rumori strani Distinti saluti.,Tecnico,bassa,urgente con la presente il pc fa rumori strani distinti saluti
23,pagamento,Buongiorno verifica credito grazie! solo per sapere,Commerciale,bassa,pagamento buongiorno verifica credito grazie solo per sapere
24,ticket,ho preso un  insomma  virus o qualcosa del genere presentazione tra poco,Tecnico,alta,ticket ho preso un insomma virus o qualcosa del genere presentazione tra poco
25,LEGGERE,documenti per la banca fatemi sapere,Amministrazione,media,leggere documenti per la banca fatemi sapere
26,ferie,INFORMAZIONI SUL TFR PERCHÉ COME SAPETE È GIÀ DA UN PO' CHE HO QUESTO PROBLEMA E NON SO PIÙ CS FARE?!,Amministrazione,bassa,ferie informazioni sul tfr perché come sapete è già da un po' che ho questo problema e non so più cs fare
27,busta paga,"buongiorno, devo fare il rimborso spese distinti saluti. dobbiamo consegnare",Amministrazione,alta,busta paga buongiorno devo fare il rimborso spese distinti saluti dobbiamo consegnare
28,730,RICHIESTA MATERNITÀ CURIOSITÀ,Amministrazione,bassa,730 richiesta maternità curiosità
29,PAGAMENTO,PER L'ENNESIMA VOLTA: IL MIO ORDINE E IN RITARDO INACCETTABILE!!! DEVO RISOLVERE OGGI,Commerciale,alta,pagamento per l'ennesima volta il mio ordine e in ritardo inaccettabile devo risolvere oggi
30,reclamo,ci sono offerte non riesco a fare niente,Commerciale,alta,reclamo ci sono offerte non riesco a fare niente
31,reso,Vi scrivo per voglio disdire Resto in attesa di un cortese riscontro. se avete tempo,Commerciale,bassa,reso vi scrivo per voglio disdire resto in attesa di un cortese riscontro se avete tempo
32,ticket,devo modificare l'ordine (o forse era un'altra cosa?) fatemi sapere una cosina veloce: non riesco più ad accedere a nulla,Commerciale,media,ticket devo modificare l'ordine o forse era un'altra cosa fatemi sapere una cosina veloce non riesco più ad accedere a nulla
33,contratto,assegni familiari boh,Amministrazione,media,contratto assegni familiari boh
34,prodotto,Per l'ennesima volta: verifica credito Non è posibile andare avanti così!,Commerciale,media,prodotto per l'ennesima volta verifica credito non è posibile andare avanti così
35,pc rotto,internet non funziona ...non ricordo bene,Tecnico,media,pc rotto internet non funziona non ricordo bene
36,rete,excel si chiude da  praticamente  solo ...non ricordo bene,Tecnico,media,rete excel si chiude da praticamente solo non ricordo bene
37,errore,schermo nero quando accendo comunque sia vi chiedo di intervenire il prima possibile se potete non c'è fretta,Tecnico,bassa,errore schermo nero quando accendo comunque sia vi chiedo di intervenire il prima possibile se potete non c'è fretta
38,vpn,Non è accettabile che non riesco ad accedere al portale per vedere la busta paga Voglio parlare con un responsabile! siamo in ritardo,Tecnico,alta,vpn non è accettabile che non riesco ad accedere al portale per vedere la busta paga voglio parlare con un responsabile siamo in ritardo
39,PROBLEMA,avete catalogo serve subito,Commerciale,alta,problema avete catalogo serve subito
40,errore,Gentilissimi proposta di collaborazione Distinti saluti.,Commerciale,media,errore gentilissimi proposta di collaborazione distinti saluti
41,schermo nero,il pc non  più o meno  si accende ...non ricordo bene,Tecnico,media,schermo nero il pc non più o meno si accende non ricordo bene
42,richiesta,voglio dare dimissioni stiamo perdendo tempo,Amministrazione,alta,richiesta voglio dare dimissioni stiamo perdendo tempo
43,aiuto,Basta! ho bisogno di un permesso Voglio parlare con un responsabile,Amministrazione,alta,aiuto basta ho bisogno di un permesso voglio parlare con un responsabile
44,ordine,desidero segnalare che spedizione urgente grazie per la collaborazione.,Commerciale,media,ordine desidero segnalare che spedizione urgente grazie per la collaborazione
45,catalogo,devo modificare l'ordine ciao,Commerciale,media,catalogo devo modificare l'ordine ciao
46,smart working,Vi scrivo x la fattura del fornitore nn quadra con le mie note spese grz per la collaborazione. devo risolvere oggi,Amministrazione,alta,smart working vi scrivo x la fattura del fornitore nn quadra con le mie note spese grz per la collaborazione devo risolvere oggi
47,aiuto,mi serve il listino prezzi ciao magari un giorno,Commerciale,bassa,aiuto mi serve il listino prezzi ciao magari un giorno
48,da risolvere,vorrei preventivo,Commerciale,alta,da risolvere vorrei preventivo
49,bloccato,backup non parte non posso lavorare,Tecnico,alta,bloccato backup non parte non posso lavorare
50,reso,devo modificare l'ordine inoltre vi faccio presente che questa situazione va avanti da settimane,Commerciale,media,reso devo modificare l'ordine inoltre vi faccio presente che questa situazione va avanti da settimane
51,supporto,devo fare una trasferta e aggiungo che un mio collega ha lo stesso identico problema URGENTE,Amministrazione,alta,supporto devo fare una trasferta e aggiungo che un mio collega ha lo stesso identico problema urgente
52,non funziona,devo fare un reso comunque sia vi chiedo di intervenire il prima possibile se potete aspetto risposta,Commerciale,media,non funziona devo fare un reso comunque sia vi chiedo di intervenire il prima possibile se potete aspetto risposta
53,non va,schermo sfarfalla il capo chiede,Tecnico,alta,non va schermo sfarfalla il capo chiede
54,prodotto,Ma e' possibile ke feedback sul servizio È la terza volta che lo segnalo!!,Commerciale,media,prodotto ma e' possibile ke feedback sul servizio è la terza volta che lo segnalo
55,domanda,non è accettabile che schermo nero quando accendo non è possibile andare avanti così! niente di che ma il sistema è completamente bloccato,Tecnico,media,domanda non è accettabile che schermo nero quando accendo non è possibile andare avanti così niente di che ma il sistema è completamente bloccato
56,rotto,"Spett.le ufficio, la mail per le note spese non parte, come faccio Resto in attesa di un cortese riscontro. riunione importante",Amministrazione,alta,rotto spett le ufficio la mail per le note spese non parte come faccio resto in attesa di un cortese riscontro riunione importante
57,Fwd:,la fattura è sbagliata comunque sia vi chiedo di intervenire il prima possibile se potete dobbiamo consegnare,Commerciale,alta,fwd la fattura è sbagliata comunque sia vi chiedo di intervenire il prima possibile se potete dobbiamo consegnare
58,help,devo scaricare cud ma sito non funziona,Amministrazione,bassa,help devo scaricare cud ma sito non funziona
59,guasto,upgrade del piano perché come sapete è già da un po' che ho questo problema e non so più cosa fare fatemi sapere,Commerciale,media,guasto upgrade del piano perché come sapete è già da un po' che ho questo problema e non so più cosa fare fatemi sapere
60,help,EXCEL SI CHIUDE DA  NON SO SE MI SPIEGO  SOLO (O FORSE ERA UN'ALTRA COSA?),Tecnico,media,help excel si chiude da non so se mi spiego solo o forse era un'altra cosa
61,help,"buongiorno, la fattura del fornitore non quadra con le mie note spese ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,media,help buongiorno la fattura del fornitore non quadra con le mie note spese ringraziando anticipatamente porgo cordiali saluti
62,non va,"ciao, internet non funziona ciao aspetto risposta",Tecnico,media,non va ciao internet non funziona ciao aspetto risposta
63,permesso,assegni familiari ...non ricordo bene,Amministrazione,bassa,permesso assegni familiari non ricordo bene
64,URGENTE,"BASTA! LA MAIL PER LE NOTE SPESE NON PARTE, COME FACCIO NON È POSSIBILE ANDARE AVANTI COSÌ!",Amministrazione,media,urgente basta la mail per le note spese non parte come faccio non è possibile andare avanti così
65,pagamento,Con la presente il prodotto è difettoso Resto in attesa di un cortese riscontro.,Commerciale,media,pagamento con la presente il prodotto è difettoso resto in attesa di un cortese riscontro
66,CATALOGO,NON E ACCETTABILE CHE CONTRATTO DI FORNITURA PRETENDO UNA RISPOSTA OGGI! DEVO RISOLVERE OGGI,Commerciale,alta,catalogo non e accettabile che contratto di fornitura pretendo una risposta oggi devo risolvere oggi
67,disponibilità,sollecito pagamento devo partire,Commerciale,alta,disponibilità sollecito pagamento devo partire
68,guasto,devo firmare  insomma  il contratto o qualcosa del genere fatemi sapere,Amministrazione,media,guasto devo firmare insomma il contratto o qualcosa del genere fatemi sapere
69,vpn,la password non funziona più thx,Tecnico,media,vpn la password non funziona più thx
70,disponibilità,"non riesco come dire a fare l'ordine online, il sito da errore (o forse era un'altra cosa?)",Commerciale,media,disponibilità non riesco come dire a fare l'ordine online il sito da errore o forse era un'altra cosa
71,virus?,il mouse non risponde inoltre vi faccio presente ch questa situazione va avanti da settimane dobbiamo consegnare,Tecnico,alta,virus il mouse non risponde inoltre vi faccio presente ch questa situazione va avanti da settimane dobbiamo consegnare
72,richiesta,devo fare come dire una trasferta o qualcosa del genere devo partire,Amministrazione,alta,richiesta devo fare come dire una trasferta o qualcosa del genere devo partire
73,cliente,sollecito pagamento e volevo anche dire che ho già provato di tutto ma non funziona niente con calma,Commerciale,bassa,cliente sollecito pagamento e volevo anche dire che ho già provato di tutto ma non funziona niente con calma
74,ticket,Ehi la stampante non stampa ciao non posso lavorare,Tecnico,alta,ticket ehi la stampante non stampa ciao non posso lavorare
75,assistenza,cambio mansione inoltre vi faccio presente ke questa situazione va avanti da settimane quando potete,Amministrazione,media,assistenza cambio mansione inoltre vi faccio presente ke questa situazione va avanti da settimane quando potete
76,importante,la webcam  come dire  non funziona ...non ricordo bene era solo un'idea,Tecnico,bassa,importante la webcam come dire non funziona non ricordo bene era solo un'idea
77,non funziona,Gentilissimi cambio mansione Ringraziando anticipatamente porgo cordiali saluti. non c'è fretta,Amministrazione,bassa,non funziona gentilissimi cambio mansione ringraziando anticipatamente porgo cordiali saluti non c'è fretta
78,ordine,feedback sul servizio ...non ricordo bene,Commerciale,media,ordine feedback sul servizio non ricordo bene
79,prodotto,spedizione urgente,Commerciale,media,prodotto spedizione urgente
80,(NESSUN OGGETTO),la webcam non nsl senso funziona o qualcosa del genere è un'emergenza,Tecnico,alta,nessun oggetto la webcam non nsl senso funziona o qualcosa del genere è un'emergenza
81,CATALOGO,BASTA! VORREI UN PREVENTIVO INACCETTABILE!!! DOBBIAMO CONSEGNARE,Commerciale,alta,catalogo basta vorrei un preventivo inaccettabile dobbiamo consegnare
82,Re: Re:,Desidero segnalare che il computer si spegne da solo Distinti saluti. è un'emergenza,Tecnico,alta,re re desidero segnalare che il computer si spegne da solo distinti saluti è un'emergenza
83,assistenza,non vedo le cartelle  come dire  condivise (o forse era un'altra cosa?),Tecnico,media,assistenza non vedo le cartelle come dire condivise o forse era un'altra cosa
84,permesso,devo parlare con hr inoltre vi faccio presente che questa situazione va avanti da settimane n è urgente,Amministrazione,bassa,permesso devo parlare con hr inoltre vi faccio presente che questa situazione va avanti da settimane n è urgente
85,mail,non ho più spazio sul disco xché come sapete è già da un po' che ho qsto problema e non so più cosa fare,Tecnico,bassa,mail non ho più spazio sul disco xché come sapete è già da un po' che ho qsto problema e non so più cosa fare
86,reclamo,DESIDERO SEGNALARE CHE FEEDBACK SUL SERVIZIO RESTO IN ATTESA DI UN CORTESE RISCONTRO. SERVE SUBITO,Commerciale,alta,reclamo desidero segnalare che feedback sul servizio resto in attesa di un cortese riscontro serve subito
87,straordinari,"Vi scrivo per vorrei chiedere le ferie Ringraziando anticipatamente, porgo cordiali saluti. aspetto risposta",Amministrazione,media,straordinari vi scrivo per vorrei chiedere le ferie ringraziando anticipatamente porgo cordiali saluti aspetto risposta
88,ERRORE,ANCORA?? IL WIFI NON PRENDE INACCETTABILE!!!,Tecnico,media,errore ancora il wifi non prende inaccettabile
89,catalogo,prodotto é difettoso,Commerciale,media,catalogo prodotto é difettoso
90,BUSTA PAGA,ANCORA?? MI SERVE LA CUD NON È POSSIBILE ANDARE AVANTI COSÌ! RIUNIONE IMPORTANTE,Amministrazione,alta,busta paga ancora mi serve la cud non è possibile andare avanti così riunione importante
91,importante,Non è accettabile che ci sono offerte Non è possibile andare avanti così! era solo un'idea,Commerciale,bassa,importante non è accettabile che ci sono offerte non è possibile andare avanti così era solo un'idea
92,730,"Vi scrivo per congedo parentale Ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,media,730 vi scrivo per congedo parentale ringraziando anticipatamente porgo cordiali saluti
93,pagamento,ci sono offerte e volevo anche dire che ho già provato di tutto ma non funziona niente devo risolvere oggi,Commerciale,alta,pagamento ci sono offerte e volevo anche dire che ho già provato di tutto ma non funziona niente devo risolvere oggi
94,pc rotto,non mi cioè fa entrare nel sistema o qualcosa del genere presentazione tra poco,Tecnico,alta,pc rotto non mi cioè fa entrare nel sistema o qualcosa del genere presentazione tra poco
95,documento,documenti per la  non so se mi spiego  banca mah se avete tempo,Amministrazione,bassa,documento documenti per la non so se mi spiego banca mah se avete tempo
96,Fwd:,mi serve cud serve subito,Amministrazione,alta,fwd mi serve cud serve subito
97,malattia,cambio mansione inoltre vi faccio presente che questa situazione va avanti da settimane pensavo che forse,Amministrazione,bassa,malattia cambio mansione inoltre vi faccio presente che questa situazione va avanti da settimane pensavo che forse
98,ordine,"ciao, spedizione urgente ciao",Commerciale,media,ordine ciao spedizione urgente ciao
99,ufficio personale,Buongiorno congedo parentale grz era solo un'idea,Amministrazione,bassa,ufficio personale buongiorno congedo parentale grz era solo un'idea
100,vpn,il computer si spegne da  più o meno  solo mah,Tecnico,media,vpn il computer si spegne da più o meno solo mah
101,supporto,Ancora?? aiuto con il 730 Non è possibile andare avanti così! dobbiamo consegnare,Amministrazione,alta,supporto ancora aiuto con il 730 non è possibile andare avanti così dobbiamo consegnare
102,cliente,Salve dov'è il mio ordine,Commerciale,media,cliente salve dov'è il mio ordine
103,(nessun oggetto),Per l'ennesima volta: il monitor non si accende È la terza volta che lo segnalo!!,Tecnico,media,nessun oggetto per l'ennesima volta il monitor non si accende è la terza volta che lo segnalo
104,cedolino,documenti banca con calma,Amministrazione,bassa,cedolino documenti banca con calma
105,RICHIESTA,n é accettabile che cambio mansione Pretendo una risposta OGGI!!!,Amministrazione,media,richiesta n é accettabile che cambio mansione pretendo una risposta oggi
106,internet,"Desidero segnalare che lo schermo sfarfalla In attesa di bs. risposta, cordialmente. grazie",Tecnico,media,internet desidero segnalare che lo schermo sfarfalla in attesa di bs risposta cordialmente grazie
